,Monte Carlo,Antithetic Variates,Stratified Sampling,Empirical Martingale Correction
185,1005.5833955683848,1005.5833955683852,1005.5833955683848,1005.5833955683848
186,1005.5688401771098,1005.5688401771093,1005.5688401771098,1005.5688401771098
187,1005.4710432924533,1005.4710432924529,1005.4710432924533,1005.4710432924533
188,1005.2588565750661,1005.2588565750663,1005.2588565750661,1005.2588565750661
189,1005.1567212334886,1005.1567212334886,1005.1567212334886,1005.1567212334886
190,1003.7191293758423,1003.719129375842,1003.7191293758423,1003.7191293758423
191,1003.5783113158204,1003.5783113158209,1003.5783113158204,1003.5783113158204
192,1003.5272803148198,1003.5272803148201,1003.5272803148198,1003.5272803148198
193,1003.3892005171028,1003.3892005171033,1003.3892005171028,1003.3892005171028
194,1003.2597087178676,1003.2597087178677,1003.2597087178676,980.9088079872424
195,1003.284392395301,1003.2843923953009,1003.284392395301,914.7321641931735
196,1002.9915261564363,1002.9915261564362,1002.9915261564363,983.6939397194712
197,1003.075965221712,1003.0759652217123,1003.075965221712,983.998333293689
198,1003.1391428006315,1003.1391428006317,1003.1391428006315,956.095194658488
199,1003.1780028738374,994.275210068094,1003.1780028738374,994.6938403269037
200,1003.3245473247582,1003.324547324758,1003.3245473247582,1003.3245473247582
